Date,Headline
2022-09-29,"Sen. Warren, others ask FTC to block Amazon's planned iRobot deal - report"
2022-09-28,Amazon.com raises hourly pay through $1B investment
2022-09-28,Epix cable/streaming rebranding as MGM+
2022-09-28,"Amazon unveils new Kindle Scribe, Fire TV, more at product event"
2022-09-26,Amazon's second Prime Day event could rattle the retail sector
2022-09-26,Amazon schedules Prime Early Access sale on October 11 & October 12
2022-09-24,"Cano, One Medical spark buyout interest amid shift to value-based care"
2022-09-23,"Catalyst watch: Tesla AI Day, Amazon product event, JetBlue trial and Nike earnings"
2022-09-22,"Cano Health jumps 38% on reports that Humana, CVS interested (update)"
2022-09-22,"Thursday Night Football' draws 13M viewers, showing no hit from streaming"
2022-09-22,WhatsApp Pay India head Manesh Mahatme steps down to join Amazon - source
2022-09-22,"UK communications regulator to probe digital markets dominated by Amazon, Google"
2022-09-21,Lyft drops at least partly after analyst downplays recent takeover speculation
2022-09-21,Twitch to ban streaming of unlicensed gambling sites
2022-09-21,"Amazon unveils four new versions of Fire 8 tablets, starting at $99"
2022-09-21,Amazon's Twitch cuts revenue-split terms with biggest streamers
2022-09-21,Amazon announces 71 new renewable energy projects globally
2022-09-20,Why did Change Healthcare stock jump? Won court approval for UnitedHealth deal
2022-09-20,"Nvidia falls even as it unveils new high-end RTX, GeForce graphics cards at GTC event (update)"
2022-09-20,"LHC Group, One Medical tick higher after judge Oks Change Healthcare/UNH deal"
2022-09-20,"Amazon touts viewer, subscription success in 'Thursday Night Football'"
2022-09-20,"Spotify launches audiobook sales, facing off with tech rivals"
2022-09-20,iRobot drops after Amazon's planned purchase receives FTC second request
2022-09-20,Amazon makes sustainability push by bringing electrofuels to the trucking fleet
2022-09-20,Musk seeks sanctions exemption to bring satellite internet to Iran
2022-09-19,"PillPack founders, who helped launch Amazon Pharmacy, leaving e-commerce giant"
2022-09-19,"Uber gives update on data breach, believes Lapsus$ may have been involved"
2022-09-19,Amazon may not have the same shipping volume headaches as FedEx
2022-09-19,Amazon reportedly suspends construction of new warehouses in Spain until 2024
